Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  1526;  269.00; 50.5655;  9.6655;18661201;19020630;Fulda-Horas
  1526;  273.00; 50.5655;  9.6655;19020701;19121231;Fulda-Horas
  1526;  267.00; 50.5544;  9.6789;19130101;19181208;Fulda-Horas
  1526;  293.00; 50.5655;  9.6655;19181209;19200330;Fulda-Horas
  1526;  270.00; 50.5458;  9.6655;19200331;19201205;Fulda-Horas
  1526;  275.00; 50.5488;  9.6655;19201206;19231015;Fulda-Horas
  1526;  330.00; 50.5655;  9.6822;19231016;19410630;Fulda-Horas
  1526;  267.00; 50.5544;  9.6789;19410701;19480620;Fulda-Horas
  1526;  325.00; 50.5605;  9.6711;19480621;19501231;Fulda-Horas
  1526;  325.00; 50.5605;  9.6711;19510101;19530318;Fulda-Horas
  1526;  293.00; 50.5635;  9.6822;19530319;19621017;Fulda-Horas
  1526;  255.00; 50.5335;  9.6750;19621018;20041031;Fulda-Horas
  1526;  255.00; 50.5330;  9.6749;20041101;20110426;Fulda-Horas
  1526;  242.00; 50.5668;  9.6533;20160608;        ;Fulda-Horas
