Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2597;  262.00; 50.1971; 10.0821;19460101;19481231;Kissingen, Bad
  2597;  262.00; 50.1971; 10.0821;19490101;19540430;Kissingen, Bad
  2597;  262.00; 50.1971; 10.0821;19540501;19540630;Kissingen, Bad
  2597;  262.00; 50.2049; 10.0782;19540701;19550430;Kissingen, Bad
  2597;  262.00; 50.2049; 10.0782;19550501;19780423;Kissingen, Bad
  2597;  262.00; 50.1960; 10.0855;19780424;20041220;Kissingen, Bad
  2597;  281.80; 50.2244; 10.0791;20041221;20060620;Kissingen, Bad
  2597;  281.80; 50.2244; 10.0791;20060621;20090620;Kissingen, Bad
  2597;  281.80; 50.2241; 10.0792;20090621;20150302;Kissingen, Bad
  2597;  281.80; 50.2241; 10.0792;20150303;        ;Kissingen, Bad
