STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       3348;2018092100;    3;  19.8;  60.0;eor
       3348;2018092101;    3;  19.1;  65.0;eor
       3348;2018092102;    3;  17.4;  71.0;eor
       3348;2018092103;    3;  17.2;  73.0;eor
       3348;2018092104;    3;  16.5;  77.0;eor
       3348;2018092105;    3;  16.4;  78.0;eor
       3348;2018092106;    3;  18.5;  70.0;eor
       3348;2018092107;    3;  20.7;  59.0;eor
       3348;2018092108;    3;  22.5;  56.0;eor
       3348;2018092109;    3;  22.9;  54.0;eor
       3348;2018092110;    3;  23.6;  49.0;eor
       3348;2018092111;    3;  24.2;  43.0;eor
       3348;2018092112;    3;  16.5;  85.0;eor
       3348;2018092113;    3;  13.2;  82.0;eor
       3348;2018092114;    3;  12.6;  88.0;eor
       3348;2018092115;    3;  12.6;  92.0;eor
       3348;2018092116;    3;  12.9;  89.0;eor
       3348;2018092117;    3;  13.1;  77.0;eor
       3348;2018092118;    3;  12.4;  68.0;eor
       3348;2018092119;    3;  11.8;  66.0;eor
       3348;2018092120;    3;  11.0;  70.0;eor
       3348;2018092121;    3;  10.7;  73.0;eor
       3348;2018092122;    3;  10.9;  71.0;eor
       3348;2018092123;    3;  10.7;  74.0;eor
       3348;2018092200;    3;  10.5;  76.0;eor
       3348;2018092201;    3;   9.9;  82.0;eor
       3348;2018092202;    3;  10.0;  85.0;eor
       3348;2018092203;    3;  10.1;  83.0;eor
       3348;2018092204;    3;   9.8;  83.0;eor
       3348;2018092205;    3;   9.7;  84.0;eor
       3348;2018092206;    3;   9.8;  86.0;eor
       3348;2018092207;    3;  10.9;  83.0;eor
       3348;2018092208;    3;  11.8;  79.0;eor
       3348;2018092209;    3;  12.8;  76.0;eor
       3348;2018092210;    3;  13.5;  65.0;eor
       3348;2018092211;    3;  14.4;  62.0;eor
       3348;2018092212;    3;  14.7;  56.0;eor
       3348;2018092213;    3;  15.7;  49.0;eor
       3348;2018092214;    3;  15.7;  45.0;eor
       3348;2018092215;    3;  15.7;  46.0;eor
       3348;2018092216;    3;  15.0;  49.0;eor
       3348;2018092217;    3;  10.9;  76.0;eor
       3348;2018092218;    3;  10.3;  85.0;eor
       3348;2018092219;    3;  10.0;  88.0;eor
       3348;2018092220;    3;   9.8;  90.0;eor
       3348;2018092221;    3;   9.6;  89.0;eor
       3348;2018092222;    3;   9.4;  93.0;eor
       3348;2018092223;    3;   9.2;  92.0;eor
       3348;2018092300;    3;   9.2;  91.0;eor
       3348;2018092301;    3;   9.1;  92.0;eor
       3348;2018092302;    3;   9.0;  94.0;eor
       3348;2018092303;    3;   9.1;  94.0;eor
