Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  4261;  446.00; 47.8535; 12.1242;18790101;19490831;Rosenheim
  4261;  447.00; 47.8605; 12.1135;19490901;19501130;Rosenheim
  4261;  447.00; 47.8605; 12.1135;19501201;19531231;Rosenheim
  4261;  449.00; 47.8497; 12.1124;19540101;19540331;Rosenheim
  4261;  449.00; 47.8497; 12.1124;19540401;19600930;Rosenheim
  4261;  446.00; 47.8666; 12.1066;19601001;19690819;Rosenheim
  4261;  446.00; 47.8688; 12.1077;19690820;19870916;Rosenheim
  4261;  444.00; 47.8763; 12.1304;19870917;20020428;Rosenheim
  4261;  444.00; 47.8755; 12.1307;20020429;20060228;Rosenheim
  4261;  442.00; 47.8753; 12.1280;20060301;        ;Rosenheim
