Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
   298;    2.00; 54.3695; 12.7058;19370101;19390630;Barth
   298;    4.00; 54.3509; 12.7169;19390701;19460430;Barth
   298;    4.00; 54.3606; 12.7244;19460501;19460930;Barth
   298;    4.00; 54.3606; 12.7244;19461001;19480831;Barth
   298;   20.00; 54.3562; 12.7505;19480901;19530430;Barth
   298;    4.00; 54.3606; 12.7244;19530501;19590520;Barth
   298;    2.00; 54.3676; 12.6891;19590521;19620114;Barth
   298;    4.00; 54.3365; 12.7172;19620115;19930714;Barth
   298;    7.00; 54.3359; 12.7141;19930715;20070430;Barth
   298;    3.00; 54.3406; 12.7108;20070501;20110903;Barth
   298;    3.00; 54.3406; 12.7108;20110904;        ;Barth
