Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2044;Harzgerode;TT_TU;21.09.1991-01:00;23.09.1991-09:00;57;;eor;                                                                                                                                        
2044;Harzgerode;TT_TU;30.12.1991-11:00;30.12.1991-11:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;15.02.1994-17:00;15.02.1994-17:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;18.05.1997-16:00;18.05.1997-16:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;09.09.1997-13:00;09.09.1997-13:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;09.09.1997-15:00;09.09.1997-17:00;3;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;09.09.1997-19:00;09.09.1997-20:00;2;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;09.09.1997-22:00;09.09.1997-23:00;2;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;10.09.1997-01:00;10.09.1997-04:00;4;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;30.05.1999-08:00;30.05.1999-08:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;16.07.1999-15:00;16.07.1999-17:00;3;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;16.07.1999-19:00;16.07.1999-20:00;2;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;16.07.1999-22:00;16.07.1999-23:00;2;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;17.07.1999-01:00;17.07.1999-05:00;5;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;01.06.2001-00:00;01.06.2001-00:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;01.12.2001-08:00;01.12.2001-23:00;16;;eor;                                                                                                                                        
2044;Harzgerode;TT_TU;07.12.2001-00:00;09.12.2001-00:00;49;;eor;                                                                                                                                        
2044;Harzgerode;TT_TU;09.01.2002-14:00;09.01.2002-17:00;4;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;09.01.2002-19:00;09.01.2002-23:00;5;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;10.01.2002-03:00;10.01.2002-03:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;11.03.2002-00:00;11.03.2002-00:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;25.12.2002-05:00;25.12.2002-05:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;31.12.2002-09:00;31.12.2002-09:00;1;;eor;                                                                                                                                         
2044;Harzgerode;TT_TU;06.08.2003-14:00;06.08.2003-23:00;10;;eor;                                                                                                                                        
2044;Harzgerode;TT_TU;07.08.2003-01:00;07.08.2003-10:00;10;;eor;                                                                                                                                        
2044;Harzgerode;TT_TU;15.08.2004-17:00;16.08.2004-07:00;15;;eor;                                                                                                                                        
