quality,quality,quality,quality,quality,quality,quality,quality,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,9.31099726775956,6.124189877705905,-10.7,5.0,9.0,13.4,31.7,8784.0,77.69045992714025,14.838449799628583,22.0,67.0,81.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.71592465753423,7.335992657854132,-9.8,3.8,8.5,15.2,31.4,8760.0,76.86929223744292,16.393826439778472,20.0,67.0,81.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.026335616438406,5.69010227373132,-3.7,5.9,9.1,14.0,31.8,8760.0,77.94577625570776,15.033331478412203,23.0,69.0,81.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.052808219178077,6.9359255832598485,-7.1,4.7,9.0,15.3,32.0,8760.0,77.56609589041096,15.594039754421498,18.0,68.0,81.0,90.0,100.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,10.350705828779581,7.8628388611622855,-10.1,5.0,9.5,15.7,35.0,8784.0,73.29895264116576,18.51506352079656,15.0,61.0,78.0,88.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.08533105022831,5.975840970939682,-4.7,5.9,10.2,14.4,30.0,8760.0,77.1513698630137,14.467569599153908,28.0,68.0,80.0,89.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.302557077625641,6.611006701252305,-16.5,4.8,9.8,13.6,31.4,8760.0,76.52751141552511,13.37468581105563,24.0,68.0,79.0,87.0,99.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.155627853881274,7.416507466839472,-16.8,3.4,9.5,14.8,28.7,8760.0,75.11461187214611,14.592641679811958,19.0,66.0,77.0,87.0,99.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,9.297791438979933,6.840830337933407,-8.8,4.3,9.2,14.224999999999998,30.6,8784.0,75.65858378870674,15.36243636146529,16.0,67.0,79.0,88.0,98.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.612808219178095,7.076821322902204,-10.2,4.0,10.2,15.0,29.9,8760.0,77.27020547945206,15.270388752376917,16.0,68.0,81.0,89.0,99.0
