Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  4642;   23.00; 52.8913; 11.7299;18820501;18881231;Seehausen
  4642;   21.00; 52.8913; 11.7299;18890101;18901231;Seehausen
  4642;   23.00; 52.8913; 11.7299;18910101;19271231;Seehausen
  4642;   21.00; 52.8913; 11.7299;19280101;19561231;Seehausen
  4642;   23.00; 52.8913; 11.7299;19570101;19700116;Seehausen
  4642;   21.00; 52.8913; 11.7299;19700117;19740704;Seehausen
  4642;   21.00; 52.8913; 11.7291;19740705;19761001;Seehausen
  4642;   21.00; 52.8913; 11.7291;19761002;20060504;Seehausen
  4642;   21.00; 52.8913; 11.7291;20060505;20070630;Seehausen
  4642;   21.00; 52.8913; 11.7291;20070701;20090304;Seehausen
  4642;   21.00; 52.8911; 11.7297;20090305;        ;Seehausen
