Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  5017;  600.00; 50.4000; 11.3800;19201001;19470630;Teuschnitz
  5017;  608.00; 50.3966; 11.3839;19470701;19510710;Teuschnitz
  5017;  628.00; 50.4019; 11.3850;19510711;19620920;Teuschnitz
  5017;  595.00; 50.3938; 11.3800;19620921;19630430;Teuschnitz
  5017;  550.00; 50.3785; 11.3758;19630501;19780829;Teuschnitz
  5017;  558.00; 50.3788; 11.3742;19780830;19870810;Teuschnitz
  5017;  568.00; 50.3788; 11.3719;19870811;20051031;Teuschnitz
  5017;  633.00; 50.4002; 11.3889;20051101;        ;Teuschnitz
