STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       3671;1979010101;    5; -11.5;-999;eor
       3671;1979010102;    5; -11.3;-999;eor
       3671;1979010103;    5; -10.4;-999;eor
       3671;1979010104;    5; -10.3;-999;eor
       3671;1979010105;    5; -11.0;-999;eor
       3671;1979010106;    5; -11.0;-999;eor
       3671;1979010107;    5; -12.8;  82.0;eor
       3671;1979010108;    5; -13.0;  80.0;eor
       3671;1979010109;    5; -14.0;  80.0;eor
       3671;1979010110;    5; -14.0;  75.0;eor
       3671;1979010111;    5; -13.4;  71.0;eor
       3671;1979010112;    5; -13.1;  72.0;eor
       3671;1979010113;    5; -13.0;  67.0;eor
       3671;1979010114;    5; -12.6;  66.0;eor
       3671;1979010115;    5; -12.5;  68.0;eor
       3671;1979010116;    5; -12.2;  73.0;eor
       3671;1979010117;    5; -11.9;  78.0;eor
       3671;1979010118;    5; -11.0;  85.0;eor
       3671;1979010119;    5; -10.6;  87.0;eor
       3671;1979010120;    5; -10.4;  88.0;eor
       3671;1979010121;    5; -10.6;  88.0;eor
       3671;1979010122;    5; -10.5;  89.0;eor
       3671;1979010123;    5; -10.5;  90.0;eor
       3671;1979010200;    5; -10.9;  89.0;eor
       3671;1979010201;    5; -11.5;  87.0;eor
       3671;1979010202;    5; -11.3;  88.0;eor
       3671;1979010203;    5; -10.4;  87.0;eor
       3671;1979010204;    5; -10.3;  86.0;eor
       3671;1979010205;    5; -11.0;  87.0;eor
       3671;1979010206;    5; -11.0;  88.0;eor
       3671;1979010207;    5; -11.2;  87.0;eor
       3671;1979010208;    5; -11.2;  89.0;eor
       3671;1979010209;    5; -10.0;  85.0;eor
       3671;1979010210;    5;  -9.0;  80.0;eor
       3671;1979010211;    5;  -8.4;  74.0;eor
       3671;1979010212;    5;  -8.0;  71.0;eor
       3671;1979010213;    5;  -7.2;  69.0;eor
       3671;1979010214;    5;  -7.2;  65.0;eor
       3671;1979010215;    5;  -7.8;  67.0;eor
