Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  4978;  306.00; 50.6333; 10.0167;18910501;18921231;Tann/Rhön
  4978;  375.00; 50.6333; 10.0167;18930101;19171231;Tann/Rhön
  4978;  370.00; 50.6333; 10.0167;19180101;19340430;Tann/Rhön
  4978;  370.00; 50.6430; 10.0228;19340501;19360930;Tann/Rhön
  4978;  365.00; 50.6500; 10.0167;19361001;19420430;Tann/Rhön
  4978;  367.00; 50.6500; 10.0167;19420501;19540131;Tann/Rhön
  4978;  370.00; 50.6321; 10.0204;19540201;19620806;Tann/Rhön
  4978;  395.00; 50.6423; 10.0259;19620807;19670630;Tann/Rhön
  4978;  400.00; 50.6423; 10.0259;19670701;19851231;Tann/Rhön
  4978;  395.00; 50.6390; 10.0228;19860101;        ;Tann/Rhön
