Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2532;  165.00; 51.3177;  9.5002;18621201;18750831;Kassel
  2532;  172.00; 51.3201;  9.4923;18750901;18810331;Kassel
  2532;  204.00; 51.3167;  9.4770;18810401;19040930;Kassel
  2532;  198.00; 51.3170;  9.4797;19041001;19381006;Kassel
  2532;  192.00; 51.3164;  9.4540;19381007;19450228;Kassel
  2532;  187.00; 51.3143;  9.4478;19450301;19510430;Kassel
  2532;  187.00; 51.3143;  9.4478;19510501;19530924;Kassel
  2532;  158.00; 51.3073;  9.4825;19530925;19770719;Kassel
  2532;  231.00; 51.2965;  9.4425;19770720;20060712;Kassel
  2532;  231.00; 51.2963;  9.4424;20060713;20131102;Kassel
