Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  1580;  108.10; 49.9840;  7.9609;18840701;18850830;Geisenheim
  1580;  103.40; 49.9840;  7.9609;18850831;19001231;Geisenheim
  1580;  101.00; 49.9840;  7.9609;19010101;19090526;Geisenheim
  1580;  101.00; 49.9840;  7.9609;19090527;19150930;Geisenheim
  1580;   96.00; 49.9836;  7.9602;19151001;19360331;Geisenheim
  1580;  109.00; 49.9856;  7.9563;19360401;19460331;Geisenheim
  1580;  109.00; 49.9856;  7.9563;19460401;19491116;Geisenheim
  1580;  109.00; 49.9856;  7.9563;19491117;19720709;Geisenheim
  1580;  109.00; 49.9856;  7.9563;19720710;19830731;Geisenheim
  1580;  118.00; 49.9866;  7.9548;19830801;19971130;Geisenheim
  1580;  118.00; 49.9865;  7.9548;19971201;20061130;Geisenheim
  1580;  110.20; 49.9859;  7.9549;20061201;        ;Geisenheim
